Date:2017-12-03 11:47:11,868 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:47:25,349 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:47:25,399 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:47:25,859 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:47:25,911 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:47:28,288 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:47:28,323 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:47:28,795 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:47:28,825 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:48:29,085 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:48:29,123 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:48:29,588 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:48:29,640 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:48:33,049 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:48:33,557 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:48:35,466 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:48:35,978 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:51:45,252 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:51:45,855 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:51:46,281 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:51:46,314 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:51:50,427 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:51:50,448 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:51:50,931 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:51:50,959 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:59:24,856 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:59:25,360 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:59:25,422 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
